#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1910-05;27.8;1910-05-19;20.1;0;8;0;0
1910-06;28.2;1910-06-04;24.7;0;17;0;0
1910-07;31.4;1910-07-23;24.9;0;16;2;0
1910-08;31.2;1910-08-22;25.3;0;16;3;0
1910-09;24.8;1910-09-11;18.9;0;0;0;0
1910-10;22.8;1910-10-01;16.1;0;0;0;0
1910-11;17.2;1910-11-09;8.3;0;0;0;0
1910-12;14.0;1910-12-10;7.5;0;0;0;0
1911-01;11.7;1911-01-27;3.2;4;0;0;0
1911-02;12.8;1911-02-19;4.8;5;0;0;0
1911-03;22.2;1911-03-29;11.4;0;0;0;0
1911-04;23.2;1911-04-24;15.2;0;0;0;0
1911-05;27.2;1911-05-16;20.0;0;7;0;0
1911-06;29.7;1911-06-26;22.5;0;10;0;0
1911-07;32.9;1911-07-27;27.8;0;25;11;0
1911-08;32.1;1911-08-24;26.7;0;25;7;0
1911-09;29.1;1911-09-04;22.4;0;9;0;0
1911-10;23.8;1911-10-07;16.4;0;0;0;0
1911-11;17.8;1911-11-22;12.2;0;0;0;0
1911-12;11.0;1911-12-16;6.1;0;0;0;0
1912-01;12.0;1912-01-24;1.6;14;0;0;0
1912-02;14.4;1912-02-28;8.5;3;0;0;0
1912-03;19.1;1912-03-29;13.3;0;0;0;0
1912-04;22.0;1912-04-09;12.9;0;0;0;0
1912-05;30.0;1912-05-13;20.4;0;4;1;0
1912-06;28.6;1912-06-07;24.5;0;12;0;0
1912-07;30.1;1912-07-29;25.9;0;22;1;0
1912-08;30.1;1912-08-05;23.5;0;11;1;0
1912-09;20.8;1912-09-05;14.5;0;0;0;0
1912-10;23.7;1912-10-03;13.6;0;0;0;0
1912-11;13.1;1912-11-01;6.2;0;0;0;0
1912-12;11.2;1912-12-27;5.2;3;0;0;0
1913-01;9.0;1913-01-26;1.2;14;0;0;0
1913-02;10.6;1913-02-27;4.3;4;0;0;0
1913-03;22.1;1913-03-24;14.4;0;0;0;0
1913-04;26.0;1913-04-26;16.8;0;4;0;0
1913-05;27.4;1913-05-31;19.5;0;4;0;0
1913-06;29.7;1913-06-02;23.4;0;12;0;0
